attempts,avg_time_per_evaluation_seconds,completion_tokens,evaluator_model,expected_evaluations,line_no,llm_seconds,parsing_seconds,prompt_tokens,row_type,source_file,stage,successful_evaluations,total_seconds,total_tokens
1,,3145,anthropic.claude-sonnet-4-20250514-v1:0,,5929,30.18,0.00,6830,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,accuracy_evaluation,,30.18,9975
1,,6940,gpt-5-2025-08-07,,5936,99.92,0.00,11256,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,coverage_evaluation,,99.92,18196
1,,364,anthropic.claude-sonnet-4-20250514-v1:0,,5946,11.72,0.00,10627,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,general_evaluation,,11.72,10991
1,,5024,anthropic.claude-sonnet-4-20250514-v1:0,,6306,66.70,0.00,8076,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,completeness_evaluation,,66.70,13100
1,,5326,anthropic.claude-sonnet-4-20250514-v1:0,,6312,63.06,0.00,7834,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,accuracy_evaluation,,63.06,13160
1,,3650,anthropic.claude-sonnet-4-20250514-v1:0,,6319,64.84,0.00,8729,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,coverage_evaluation,,64.84,12379
1,,5508,anthropic.claude-sonnet-4-20250514-v1:0,,6330,97.62,0.00,12954,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,completeness_evaluation,,97.62,18462
1,,3449,anthropic.claude-sonnet-4-20250514-v1:0,,6336,48.96,0.00,13304,metric_call,batch_meeting_notes_model_comparison_repair_20260403_1415.log,coverage_evaluation,,48.96,16753
,163.94,,,2,1856,,,,offline_eval_job,batch_meeting_notes_model_comparison_20260403_1336.log,offline_evaluation_job,2,327.88,
,224.12,,,2,2430,,,,offline_eval_job,batch_meeting_notes_model_comparison_20260403_1336.log,offline_evaluation_job,2,448.24,
,236.93,,,2,2445,,,,offline_eval_job,batch_meeting_notes_model_comparison_20260403_1336.log,offline_evaluation_job,2,473.85,
,301.48,,,2,2523,,,,offline_eval_job,batch_meeting_notes_model_comparison_20260403_1336.log,offline_evaluation_job,2,602.96,
,256.25,,,2,4621,,,,offline_eval_job,batch_meeting_notes_model_comparison_20260403_1336.log,offline_evaluation_job,2,512.51,
,280.33,,,2,4640,,,,offline_eval_job,batch_meeting_notes_model_comparison_20260403_1336.log,offline_evaluation_job,2,560.67,
,303.65,,,2,4671,,,,offline_eval_job,batch_meeting_notes_model_comparison_20260403_1336.log,offline_evaluation_job,2,607.31,
,149.35,,,2,1257,,,,offline_eval_job,batch_meeting_notes_model_comparison_repair_20260403_1415.log,offline_evaluation_job,2,298.69,
,242.68,,,2,2492,,,,offline_eval_job,batch_meeting_notes_model_comparison_repair_20260403_1415.log,offline_evaluation_job,2,485.37,
,265.78,,,2,2523,,,,offline_eval_job,batch_meeting_notes_model_comparison_repair_20260403_1415.log,offline_evaluation_job,2,531.57,
,301.82,,,2,2980,,,,offline_eval_job,batch_meeting_notes_model_comparison_repair_20260403_1415.log,offline_evaluation_job,2,603.64,
,79.95,,,2,3190,,,,offline_eval_job,batch_meeting_notes_model_comparison_repair_20260403_1415.log,offline_evaluation_job,2,159.91,
,123.00,,,2,3769,,,,offline_eval_job,batch_meeting_notes_model_comparison_repair_20260403_1415.log,offline_evaluation_job,2,246.01,
,294.49,,,2,3894,,,,offline_eval_job,batch_meeting_notes_model_comparison_repair_20260403_1415.log,offline_evaluation_job,2,588.97,
,96.04,,,2,3924,,,,offline_eval_job,batch_meeting_notes_model_comparison_repair_20260403_1415.log,offline_evaluation_job,2,192.08,
,304.37,,,2,4640,,,,offline_eval_job,batch_meeting_notes_model_comparison_repair_20260403_1415.log,offline_evaluation_job,2,608.74,
,267.04,,,2,5631,,,,offline_eval_job,batch_meeting_notes_model_comparison_repair_20260403_1415.log,offline_evaluation_job,2,534.07,
,291.95,,,2,6324,,,,offline_eval_job,batch_meeting_notes_model_comparison_repair_20260403_1415.log,offline_evaluation_job,2,583.89,
,346.82,,,2,6341,,,,offline_eval_job,batch_meeting_notes_model_comparison_repair_20260403_1415.log,offline_evaluation_job,2,693.65,
